id,PMID,Title
3399,36839777,Low-Intensity Pulsed Ultrasound-Mediated Blood-Brain Barrier Opening Increases Anti-Programmed Death-Ligand 1 Delivery and Efficacy in Gl261 Mouse Model
3406,36824969,Development of a human glioblastoma model using humanized DRAG mice for immunotherapy
3410,36969175,Epithelial-mesenchymal transition is the main way in which glioma-associated microglia/macrophages promote glioma progression
3448,36915911,Multivalent in vivo delivery of DNA-encoded bispecific T cell engagers effectively controls heterogeneous GBM tumors and mitigates immune escape
3486,36846716,PTPN18 Serves as a Potential Oncogene for Glioblastoma by Enhancing Immune Suppression
3536,36915038,A novel cuproptosis-related gene signature to predict prognosis in Glioma
3558,36831536,Individualized Multimodal Immunotherapy for Adults with IDH1 Wild-Type GBM: A Single Institute Experience
3685,36997057,"ECM2, a prognostic biomarker for lower grade glioma, serves as a potential novel target for immunotherapy"
3777,36977441,Rabies virus glycoprotein 29 (RVG29) promotes CAR-T immunotherapy for glioma
3911,36980184,Gal-1 Expression Analysis in the GLIOCAT Multicenter Study: Role as a Prognostic Factor and an Immune-Suppressive Biomarker
4012,36971192,G9a promotes immune suppression by targeting the Fbxw7/Notch pathway in glioma stem cells
4015,36901897,Isolation of Cells from Glioblastoma Multiforme Grade 4 Tumors for Infection with Zika Virus prME and ME Pseudotyped HIV-1
4038,36845382,Prognostic RNA-editing signature predicts immune functions and therapy responses in gliomas
4050,36825022,Identification and validation of neurotrophic factor-related gene signatures in glioblastoma and Parkinson's disease
4148,36944954,"The short isoform of MS4A7 is a novel player in glioblastoma microenvironment, M2 macrophage polarization, and tumor progression"
4203,36789106,esRAGE-expressing oHSV enhances anti-tumor efficacy by inhibition of endothelial cell activation
4211,36936439,Identification of cuproptosis-related subtypes and the development of a prognostic model in glioma
4216,36958405,A feline model of spontaneously occurring autoimmune limbic encephalitis
4257,36864784,Polio Virotherapy Targets the Malignant Glioma Myeloid Infiltrate with Diffuse Microglia Activation Engulfing the CNS
4263,36817432,IL7 and IL7 Flt3L co-expressing CAR T cells improve therapeutic efficacy in mouse EGFRvIII heterogeneous glioblastoma
4267,36969231,The prognostic and immune significance of C15orf48 in pan-cancer and its relationship with proliferation and apoptosis of thyroid carcinoma
4344,36901782,Increased EGFRvIII Epitope Accessibility after Tyrosine Kinase Inhibitor Treatment of Glioblastoma Cells Creates More Opportunities for Immunotherapy
4348,36819551,Development and validation of an inflammatory response-related prognostic model and immune infiltration analysis in glioblastoma
4460,36845098,Functional characterization of TSPAN7 as a novel indicator for immunotherapy in glioma
4465,36804058,PHGDH-mediated endothelial metabolism drives glioblastoma resistance to chimeric antigen receptor T cell immunotherapy
4519,36968223,A Phase I Trial of VEGF-A Inhibition Combined with PD-L1 Blockade for Recurrent Glioblastoma
4527,36831427,A Case Study of Chimeric Antigen Receptor T Cell Function: Donor Therapeutic Differences in Activity and Modulation with Verteporfin
4635,36854924,T7 peptide-decorated exosome-based nanocarrier system for delivery of Galectin-9 siRNA to stimulate macrophage repolarization in glioblastoma
4652,36874245,Efficacy of oligodendrocyte precursor cells as delivery vehicles for single-chain variable fragment to misfolded SOD1 in ALS rat model
4682,36819132,Prognosis and clinical features analysis of EMT-related signature and tumor Immune microenvironment in glioma
4703,36966232,Fusion peptide is superior to co-expressing subunits for arming oncolytic herpes virus with interleukin 12
4812,36968221,Inclusion of 4-1BB Costimulation Enhances Selectivity and Functionality of IL13Rα2-Targeted Chimeric Antigen Receptor T Cells
4862,36839682,Investigating the Effects of Olaparib on the Susceptibility of Glioblastoma Multiforme Tumour Cells to Natural Killer Cell-Mediated Responses
4872,36915128,Immunological and tumor-intrinsic mechanisms mediate the synergistic growth suppression of experimental glioblastoma by radiotherapy and MET inhibition
5227,36810892,Systematic analysis identifies REST as an oncogenic and immunological biomarker in glioma
5234,37166370,Tumor niches: perspectives for targeted therapies in glioblastoma
5315,36825202,Pan-cancer integrated bioinformatics analysis reveals cuproptosis related gene FDX1 is a potential prognostic and immunotherapeutic biomarker for lower-grade gliomas
5447,36979179,Dynamic Regulation Genes at Microtubule Plus Ends: A Novel Class of Glioma Biomarkers
5548,36823671,High-dose proton beam therapy versus conventional fractionated radiation therapy for newly diagnosed glioblastoma: a propensity score matching analysis
5595,36831183,Prospective Evaluation of CD45RA+/CCR7- Effector Memory T (T(EMRA)) Cell Subsets in Patients with Primary and Secondary Brain Tumors during Radiotherapy of the Brain within the Scope of the Prospective Glio-CMV-01 Clinical Trial
46,33130898,DNA methylation based glioblastoma subclassification is related to tumoral T-cell infiltration and patient survival
48,35395080,Circulating Immune Cell and Outcome Analysis from the Phase II Study of PD-L1 Blockade with Durvalumab for Newly Diagnosed and Recurrent Glioblastoma
51,30500939,"A randomized, double-blind, phase III trial of personalized peptide vaccination for recurrent glioblastoma"
78,34168003,Intracerebral administration of CTLA-4 and PD-1 immune checkpoint blocking monoclonal antibodies in patients with recurrent glioblastoma: a phase I clinical trial
105,31873309,Immune profiling of human tumors identifies CD73 as a combinatorial target in glioblastoma
906,15452186,"Antitumor vaccination of patients with glioblastoma multiforme: a pilot study to assess feasibility, safety, and clinical benefit"
